ele,name,id,x,y
403.7,"0001",2,65.6585294008,66.8608942162
348.4,"0002",3,65.6586646009,66.8569704797
348.4,Красивый берег,4,65.6586642656,66.8569703121
352.4,Вид 2,5,65.6583470944,66.8543499615
163.5,Мост,6,65.6366737559,66.8230920006
143.4,Смотровая площадка,7,65.6342875119,66.8261061329
201.3,Стоянка 1,8,65.6373280473,66.8384598009
313.1,Смотровая точка 2,9,65.6585741602,66.8519516475
308.6,Смотровая точка 3,10,65.6576923002,66.8519473728
325.4,Смотровая точка 4,11,65.6581406482,66.8545624427
725.9,Ледник. Озеро,12,65.4351738095,66.899902001
767.6,Ледник Романтиков,13,65.4336087406,66.9027129561
518.6,Смотровая точка 1,14,65.5805331934,66.8839626387
527.4,Смотровая 527 м,15,65.6846907455,66.8991915509
507.6,"0003",16,65.6873175502,66.9005340803
474.8,Пятачок (Пионерский),17,65.6886808667,66.9009482302
343.9,Привал 2,19,65.6854275987,66.9080629572
147.1,Стоянка 2,20,65.6940236595,66.9302878249
157.2,Проба 1,21,65.6934562046,66.9300928619
159.4,Проба 2,22,65.6934469845,66.9300678838
96.4,Стоянка. Подкачка,23,65.7175272703,66.9008448813
69.7,Финиш. Катамаран,24,65.781742204,66.806297265
57.5,Стенд,26,66.5619921964,66.585958153
57.3,Беседка,27,66.5648749005,66.5855462663
580.4,Старт,28,65.4651422985,66.966996789
591.2,Привал. Вода,29,65.4648418911,66.9656838477
803.1,Привал. Обед,30,65.4719525948,66.959770415
758.5,Метеостанция Рай-Из,31,65.6591320258,66.8999346506
748,Родник,32,65.4848095123,66.954073403
766.1,Опасный участок,33,65.4877384845,66.9538668729
789.9,Привал 1,34,65.4908312391,66.9530846737
